Title	Start Date	End Date	Author(s)	Genre(s)	Display Genre	Type	Format	Pages	Hours	Year Purchased	Rating	Re-Read?	Book Club?	Technical?	Goodreads	Cover
The Myth of Sisyphus	2/1	20/1	Albert Camus	Philosophy, Classics	Philosophy	Non-Fiction	Physical	171	-	2021	3/5	No	No	No	https://www.goodreads.com/book/show/19220144-the-myth-of-sisyphus	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386286864l/19220144.jpg
Project Hail Mary	3/1	13/1	Andy Weir	Science Fiction	Science Fiction	Fiction	Physical	496	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/54493401-project-hail-mary	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597695864l/54493401.jpg
The Picture of Dorian Gray	13/1	19/1	Oscar Wilde	Classics, Novel	Classics	Fiction	Physical	213	-	2020	5/5	Yes	No	No	https://www.goodreads.com/book/show/489732.The_Picture_of_Dorian_Gray	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454087681l/489732._SY475_.jpg
Say Nothing	20/1	27/1	Patrick Radden Keefe	True Crime	True Crime	Non-Fiction	Physical	404	-	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/40163119-say-nothing	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1537315266l/40163119._SY475_.jpg
The Mom Test	21/1	31/1	Rob Fitzpatrick	Business	Business	Non-Fiction	Audible	-	4	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/52283963-the-mom-test	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1566473431l/52283963._SX318_SY475_.jpg
The Almanac of Naval Ravikant	23/1	3/2	Eric Jorgenson	Self-Improvement, Business	Self-Improvement	Non-Fiction	Physical	219	-	2021	4.5/5	No	No	No	https://www.goodreads.com/en/book/show/54898389-the-almanack-of-naval-ravikant	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598011736l/54898389._SY475_.jpg
Anna Karenina	28/1	8/3	Leo Tolstoy	Classics, Novel	Classics	Fiction	Physical	963	-	2021	4.5/5	No	No	No	https://www.goodreads.com/book/show/6670297-anna-karenina	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320430760l/6670297.jpg
Benjamin Franklin: An American Life	4/3	21/4	Walter Isaacson	Biography, History	Biography	Non-Fiction	Audible	-	24.5	2022	3/5	No	No	No	https://www.goodreads.com/book/show/10883.Benjamin_Franklin	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630510455l/10883._SX318_.jpg
Children of Time	22/3	7/4	Adrian Tchaikovsky	Science Fiction	Science Fiction	Fiction	Kindle	600	-	2022	4/5	No	No	No	https://www.goodreads.com/book/show/25499718-children-of-time	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1431014197l/25499718.jpg
The Periodic Table	8/4	14/4	Primo Levi	Science, History	Science	Non-Fiction	Physical	205	-	2021	4/5	No	No	No	https://www.goodreads.com/book/show/10808156-the-periodic-table	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329610169l/10808156.jpg
The Cold Start Problem	18/4	28/4	Andrew Chen	Business, Technical	Business	Non-Fiction	Physical	374	-	2022	4.5/5	No	No	No	https://www.goodreads.com/en/book/show/55338968-the-cold-start-problem	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627895516l/55338968.jpg
Born a Crime	27/4	2/5	Trevor Noah	Memoir, Biography	Biography	Non-Fiction	Audible	-	8.5	2022	3.5/5	No	No	No	https://www.goodreads.com/book/show/29780253-born-a-crime	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1473867911l/29780253.jpg
1984	2/5	9/5	George Orwell	Science Fiction, Dystopian	Science Fiction	Fiction	Physical	342	-	2022	4.5/5	Yes	No	No	https://www.goodreads.com/book/show/40961427-1984	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327144697l/3744438.jpg
The Psychology of Money	5/5	19/5	Morgan Housel	Finance, Self-Improvement	Self-Improvement	Non-Fiction	Audible	-	6	2022	4/5	No	No	No	https://www.goodreads.com/book/show/41881472-the-psychology-of-money	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1581527774l/41881472._SY475_.jpg
Frankenstein	9/5	19/5	Mary Shelley	Classics, Horror	Classics	Fiction	Physical	202	-	2022	3/5	No	No	No	https://www.goodreads.com/book/show/18490.Frankenstein	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1381512375l/18490.jpg
The Last Correspondent	19/5	28/5	Michael Smith	Politics, History	Politics	Non-Fiction	Physical	315	-	2022	3.5/5	No	No	No	https://www.goodreads.com/en/book/show/57513008-the-last-correspondent	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1616576881l/57513008._SY475_.jpg
Farenheit 451	29/5	1/6	Ray Bradbury	Science Fiction, Dystopian	Science Fiction	Fiction	Physical	227	-	2022	3.5/5	No	No	No	https://www.goodreads.com/book/show/13079982-fahrenheit-451	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1656396122i/16032905.jpg
Russia: The Wild East	30/5	7/6	Martin Sixsmith	History	History	Non-Fiction	Audible	-	11	2022	4.5/5	No	No	No	https://www.goodreads.com/en/book/show/11123087-russia	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1333636651l/11123087.jpg
Indelible City	5/6	19/6	Louisa Lim	History, Politics	History	Non-Fiction	Physical	321	-	2022	4.5/5	No	No	No	https://www.goodreads.com/en/book/show/59900414-indelible-city	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1640059699l/59900414._SY475_.jpg
On the Good Life	6/6	3/7	Cicero	Classics, Philosophy	Philosophy	Non-Fiction	Physical	355	-	2022	3.5/5	No	No	No	https://www.goodreads.com/book/show/84597.On_the_Good_Life	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1482300376l/33536510.jpg
A Memory Called Empire	21/6	26/6	Arkady Martine	Science Fiction	Science Fiction	Fiction	Physical	450	-	2022	4/5	No	No	No	https://www.goodreads.com/book/show/37794149-a-memory-called-empire	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1526486698l/37794149._SY475_.jpg
