Title	Start Date	End Date	Author(s)	Genre(s)	Display Genre	Type	Format	Pages	Hours	Year Purchased	Rating	Re-Read?	Book Club?	Technical?	Goodreads	Cover	Tags
Out of the Ether	6/1	10/1	Matthew MacAdam Leising	Technology	Technology	Non-Fiction	Physical	278	-	Borrowed	3.5/5	No	No	No	https://www.goodreads.com/en/book/show/55360267-out-of-the-ether	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610316653i/55360267.jpg	
The Spy Who Came in from the Cold	15/1	17/1	John le Carré	Novel, Thriller	Novel	Fiction	Physical	281	-	2022	3.5/5	No	No	No	https://www.goodreads.com/book/show/19494.The_Spy_Who_Came_In_from_the_Cold	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327719782i/19494.jpg	
Deep Work	17/1	26/1	Cal Newport	Business	Self-Improvement	Non-Fiction	Physical	263	-	2022	4.5/5	No	No	No	https://www.goodreads.com/book/show/28383248-deep-work	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1451409702l/28383248._SY475_.jpg	
American Psycho	19/1	25/1	Bret Easton Ellis	Novel	Novel	Fiction	Physical	386	-	2022	3.5/5	No	No	No	https://www.goodreads.com/book/show/437149.American_Psycho	https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1309510797l/437149.jpg	
The Making of the Modern Middle East	27/1	6/2	Jeremy Bowen	History, Politics	History	Non-Fiction	Audible	-	15	2022	5/5	No	No	No	https://www.goodreads.com/en/book/show/62214146	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1662051213i/62214146.jpg	
A Little Hatred	27/1	11/2	Joe Abercrombie	Fantasy	Fantasy	Fiction	Physical	486	-	2022	4/5	No	No	No	https://www.goodreads.com/book/show/36452010-a-little-hatred	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1568174229i/36452010.jpg	
The Count of Monte Cristo	13/2	20/3	Alexandre Dumas	Novel, Classics	Novel	Fiction	Physical	871	-	2017	5/5	No	No	No	https://www.goodreads.com/book/show/7126.The_Count_of_Monte_Cristo	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1611834134i/7126.jpg	
Storytelling with Data	6/3	22/4	Cole Nussbaumer Knaflic	Technical, Computer Science	Technical	Non-Fiction	Kindle	284	-	2023	4/5	No	No	Yes	https://www.goodreads.com/book/show/26535513-storytelling-with-data	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1444690744i/26535513.jpg	
The War of Art	25/3	25/3	Steven Pressfield	Self-Improvement, Writing	Self-Improvement	Non-Fiction	Kindle	168	-	2023	4.5/5	No	No	No	https://www.goodreads.com/book/show/18624273-the-war-of-art	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1384803085i/18624273.jpg	
The Dispossed	26/3	5/4	Ursula K. Le Guin	Science Fiction	Science Fiction	Fiction	Kindle	400	-	2023	3/5	No	No	No	https://www.goodreads.com/book/show/6602919-the-dispossessed	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1504687485i/6602919.jpg	
The Body Keeps the Score	27/3	1/5	Bessel van der Kolk	Psychology, Science	Science	Non-Fiction	Audible	-	16	2023	2.5/5	No	No	No	https://www.goodreads.com/book/show/18693771-the-body-keeps-the-score	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1594559067i/18693771.jpg	
Gates of Fire	6/4	13/4	Steven Pressfield	Historical Fiction, Novel	Novel	Fiction	Kindle	402	-	2023	4.5/5	No	No	No	https://www.goodreads.com/book/show/6622811-gates-of-fire	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1386924869i/1305.jpg	
Famine, Affluence, and Morality	16/4	16/4	Peter Singer	Philosophy, Ethics	Philosophy	Non-Fiction	Kindle	108	-	2023	3/5	No	No	No	https://www.goodreads.com/book/show/26395681-famine-affluence-and-morality	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1441041874i/26200871.jpg	
The New Jim Crow	22/4	8/5	Michelle Alexander	Politics, History	Politics	Non-Fiction	Kindle	421	-	2023	4/5	No	No	No	https://www.goodreads.com/book/show/53498439-the-new-jim-crow	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1593974752i/53498439.jpg	
A Man for All Markets	4/5	18/5	Edward O. Thorp	Biography, Finance	Biography	Non-Fiction	Audible	-	16.5	2023	4/5	No	No	No	https://www.goodreads.com/en/book/show/25733505	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1471282417i/25733505.jpg	
The Persian Expedition	9/5	17/5	Xenophon	History, War	History	Non-Fiction	Kindle	375	-	2023	3/5	No	No	No	https://www.goodreads.com/book/show/9642703-the-persian-expedition	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1327159759i/9642703.jpg	
Do Androids Dream of Electric Sheep?	17/5	25/5	Philip K. Dick	Science Fiction, Dystopian	Science Fiction	Fiction	Kindle	208	-	2023	4/5	No	No	No	https://www.goodreads.com/book/show/36402034-do-androids-dream-of-electric-sheep	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1610205242i/8883476.jpg	
Kitchen Confidential	28/5	5/6	Anthony Bourdain	Biography, Memoir	Biography	Non-Fiction	Kindle	312	-	2023	3/5	No	No	No	https://www.goodreads.com/book/show/19501632-kitchen-confidential	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1539474237i/19501632.jpg	
The Price of Time	4/6	26/6	Edward Chancellor	Economics, Finance	Business	Non-Fiction	Audible	-	13.5	2023	4/5	No	No	No	https://www.goodreads.com/en/book/show/59056157	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1664012032i/59056157.jpg	
The Assassination of Julius Caesar	6/6	16/6	Michael Parenti	History	History	Non-Fiction	Physical	222	-	2023	3.5/5	No	No	No	https://www.goodreads.com/en/book/show/37811	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1547291859i/37811.jpg	
The Trouble with Peace	17/6	28/6	Joe Abercrombie	Fantasy	Fantasy	Fiction	Kindle	506	-	2023	4/5	No	No	No	https://www.goodreads.com/en/book/show/40701777	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1590592843i/40701777.jpg	
The Pathless Path	28/6	16/7	Paul Millerd	Self-Improvement, Business	Self-Improvement	Non-Fiction	Audible	-	6	2023	4/5	No	No	No	https://www.goodreads.com/en/book/show/60151185	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1642482295i/60151185.jpg	
The Handmaid's Tale	2/7	15/7	Margaret Atwood	Dystopian, Novel	Novel	Fiction	Physical	303	-	2022	3.5/5	No	No	No	https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447.jpg	
The Wisdom of Crowds	15/7	23/7	Joe Abercrombie	Fantasy	Fantasy	Fiction	Kindle	520	-	2023	4.5/5	No	No	No	https://www.goodreads.com/book/show/40701780-the-wisdom-of-crowds	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1618942363i/40701780.jpg	
Learning Go	16/7	3/8	Jon Bodner	Technical, Computer Science	Technical	Non-Fiction	Physical	376	-	2022	4/5	No	No	Yes	https://www.goodreads.com/en/book/show/55841848	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1615241201i/55841848.jpg	
Atomic Habits	17/7	23/7	James Clear	Self-Improvement	Self-Improvement	Non-Fiction	Audible	-	5.5	2023	4/5	No	No	No	https://www.goodreads.com/en/book/show/40121378	https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1655988385i/40121378.jpg	
