Title GSheet	Start Date	End Date	Author(s)	Display Genre	Type	Format	Pages	Hours	My Rating	Re-Read?	Book Club?	Technical?	Goodreads	Year Read	Start Month	End Month	Num Days Reading	Pages Per Day	Hours Per Day	Goodreads Rating	Full Title	Title	Subtitle	Year Published	Period Published	Num Reviews	Num Ratings	Num Five Stars	Num Four Stars	Num Three Stars	Num Two Stars	Num One Stars	Gender(s)	Num Authors	Author Gender	Rating Delta	Rating Delta Absolute	Read On Release?	1-Star Rating Percentage	5-Star Rating Percentage	Goodreads Rating Binned
Prince of Fools	2019-01-01	2019-01-07	Mark Lawrence	Fantasy	Fiction	Physical	502.0		3.5	False	False	False	https://www.goodreads.com/book/show/25262299-prince-of-fools	2019	01-2019	01-2019	7	71.71428571428571		4.06	Prince of Fools	Prince of Fools	Prince of Fools	2014	Contemporary (21st)	2489	32412	11379	13581	5763	1274	415	Male	1	Male	-0.5599999999999996	0.5599999999999996	False	1.280389979020116	35.10736764161422	(4.0, 4.25]
Designing Data-Intensive Applications	2019-01-04	2019-05-10	Martin Kleppmann	Technology	Non-Fiction	Physical	546.0		5.0	False	False	True	https://www.goodreads.com/book/show/23463279-designing-data-intensive-applications	2019	01-2019	05-2019	127	4.299212598425197		4.71	Designing Data-Intensive Applications	Designing Data-Intensive Applications	Designing Data-Intensive Applications	2015	Contemporary (21st)	746	8095	6216	1530	278	46	25	Male	1	Male	0.29000000000000004	0.29000000000000004	False	0.3088326127239036	76.7881408276714	(4.5, 4.75]
Scar Tissue	2019-01-09	2019-01-18	Anthony Kiedis	Biography	Non-Fiction	Physical	465.0		3.5	False	False	False	https://goodreads.com/book/show/4303.Scar_Tissue	2019	01-2019	01-2019	10	46.5		4.11	Scar Tissue	Scar Tissue	Scar Tissue	2004	Contemporary (21st)	3843	88706	37629	30622	14859	3893	1703	Male	1	Male	-0.6100000000000003	0.6100000000000003	False	1.919825040019841	42.41990395238203	(4.0, 4.25]
The Gallic Wars	2019-01-19	2019-01-27	Julius Caesar	History	Non-Fiction	Physical	260.0		4.0	False	False	False	https://goodreads.com/book/show/37807.Caesar_s_Commentaries	2019	01-2019	01-2019	9	28.88888888888889		4.11	Caesar's Commentaries: On the Gallic War & On the Civil War	Caesar's Commentaries	On the Gallic War & On the Civil War	-51	Antiquity	67	959	373	372	168	39	7	Male	1	Male	-0.11000000000000032	0.11000000000000032	False	0.7299270072992701	38.894681960375394	(4.0, 4.25]
Fire and Fury	2019-01-28	2019-02-06	Michael Wolff	Politics	Non-Fiction	Physical	336.0		3.5	False	False	False	https://www.goodreads.com/book/show/36595101-fire-and-fury	2019	01-2019	02-2019	10	33.6		3.44	Fire and Fury: Inside the Trump White House	Fire and Fury	Inside the Trump White House	2018	Contemporary (21st)	9047	75668	12117	23996	27548	8873	3134	Male	1	Male	0.06000000000000005	0.06000000000000005	True	4.141777237405508	16.013374213670247	(3.25, 3.5]
Brave New World	2019-02-07	2019-02-11	Aldous Huxley	Science Fiction	Fiction	Physical	250.0		3.0	False	False	False	https://www.goodreads.com/book/show/3180338-brave-new-world	2019	02-2019	02-2019	5	50.0		3.99	Brave New World	Brave New World	Brave New World	1932	Late Modern	46371	1829557	668390	655651	362687	100091	42738	Male	1	Male	-0.9900000000000002	0.9900000000000002	False	2.3359753208017024	36.53288746948032	(3.75, 4.0]
This is going to Hurt	2019-02-11	2019-02-14	Adam Kay	Miscellaneous	Non-Fiction	Physical	288.0		5.0	False	False	False	https://www.goodreads.com/book/show/43562724-this-is-going-to-hurt	2019	02-2019	02-2019	4	72.0		4.41	This Is Going to Hurt	This Is Going to Hurt	This Is Going to Hurt	2017	Contemporary (21st)	20242	276597	158995	83391	25098	5653	3460	Male	1	Male	0.5899999999999999	0.5899999999999999	False	1.2509173996825707	57.482546809979866	(4.25, 4.5]
The Liar's Key	2019-02-15	2019-02-27	Mark Lawrence	Fantasy	Fiction	Physical	653.0		4.0	False	False	False	https://www.goodreads.com/book/show/25772187-the-liar-s-key	2019	02-2019	02-2019	13	50.23076923076923		4.24	The Liar’s Key	The Liar’s Key	The Liar’s Key	2015	Contemporary (21st)	1169	20147	8631	8299	2735	399	83	Male	1	Male	-0.2400000000000002	0.2400000000000002	False	0.41197200575768106	42.840125080657174	(4.0, 4.25]
Sniper on the Eastern Front	2019-03-04	2019-03-07	Albrect Wacker	History	Non-Fiction	Physical	179.0		2.5	False	False	False	https://www.goodreads.com/book/show/15901600-sniper-on-the-eastern-front	2019	03-2019	03-2019	4	44.75		4.2	Sniper on the Eastern Front: The Memoirs of Sepp Allerberger, Knight’s Cross	Sniper on the Eastern Front	The Memoirs of Sepp Allerberger, Knight’s Cross	2000	Contemporary (21st)	159	3244	1469	1171	443	115	46	Male	1	Male	-1.7000000000000002	1.7000000000000002	False	1.4180024660912454	45.28360049321825	(4.0, 4.25]
The Crusades through Arab Eyes	2019-03-09	2019-03-13	Amin Maalouf	History	Non-Fiction	Physical	266.0		4.5	False	False	False	https://www.goodreads.com/book/show/19226403-the-crusades-through-arab-eyes	2019	03-2019	03-2019	5	53.2		4.2	The Crusades Through Arab Eyes	The Crusades Through Arab Eyes	The Crusades Through Arab Eyes	1983	Contemporary (20th)	845	9219	3890	3674	1332	239	84	Male	1	Male	0.2999999999999998	0.2999999999999998	False	0.9111617312072893	42.1954658856709	(4.0, 4.25]
